t_sec,elevation_deg,azimuth_deg,range_km,doppler_hz,fspl_db,snr_db
188,25.831058429739304,221.03515689816518,794.8166631267128,-10742.430522231105,156.47593918138404,13.524060818615965
190,25.67673969096163,219.89954833624563,798.2818298190703,-11558.551924469883,156.5137247961046,13.486275203895389
192,25.51316729962904,218.77713150414004,801.9883293486151,-12363.551619250158,156.55396088154703,13.446039118452973
194,25.34076499137231,217.6684939861347,805.9328729112569,-13157.581044423063,156.59657732163242,13.403422678367576
196,25.159969340721645,216.57419035690182,810.1119567449181,-13939.923177324023,156.64150075595393,13.358499244046072
198,24.971220074813395,215.49469774610947,814.5220341344759,-14710.434742016896,156.68865665666942,13.311343343330577
200,24.77497272852508,214.43050293896007,819.1591696458295,-15467.819111558714,156.73796585526452,13.26203414473548
202,24.571673289671725,213.38197300367844,824.019585182775,-16212.601108682788,156.78935059469092,13.210649405309084
204,24.36176654574955,212.3494231419684,829.0994275315368,-16944.530168139714,156.8427322188332,13.157267781166809
206,24.1457071545068,211.33317918230753,834.3944547918738,-17662.30977143883,156.8980280972653,13.101971902734704
208,23.923932241279402,210.33345480748434,839.9006624849607,-18366.731871176096,156.9551583896178,13.044841610382207
210,23.69687630232269,209.35043705127714,845.6138915681347,-19057.280897887173,157.0140420904172,12.985957909582794
212,23.46496066473427,208.38424836065644,851.5300614287854,-19734.21846606532,157.0745996012294,12.925400398770591
214,23.22861076947873,207.43502639962512,857.6447012020485,-20396.24283431137,157.13674808831905,12.863251911680948
216,22.988226882178246,206.50280992667666,863.9536748640265,-21044.470911866734,157.200409038545,12.79959096145501
218,22.74420156870213,205.58761944195484,870.4527194783095,-21678.479364157254,157.26550364228166,12.734496357718342
220,22.496909155108625,204.68942227563062,877.1377081962067,-22298.72213095243,157.33195554832673,12.668044451673268
222,22.246724947228955,203.80820711331165,884.0041176694834,-22903.87663213559,157.39968567229607,12.600314327703927
224,21.993994788493396,202.94387815904514,891.0478434787452,-23495.34026390279,157.4686203823668,12.531379617633206
226,21.739054468781866,202.09633027762936,898.2646736683373,-24072.754323899928,157.53868632095833,12.461313679041666
228,21.482219304525874,201.2654166709775,905.6505787898946,-24636.72759091639,157.60981329343122,12.390186706568784
230,21.223804677623463,200.45101778718248,913.2011207368698,-25185.896927985003,157.68192862951082,12.318071370489179
232,20.964094975653573,199.65294333048774,920.9123502789491,-25721.89305068945,157.75496585920075,12.245034140799248
234,20.70335902573746,198.87098607683788,928.780381237085,-26244.926275416237,157.8288605765191,12.171139423480895
236,20.44186609007467,198.10496967262796,936.8009059015424,-26753.590527141987,157.9035459539648,12.096454046035205
238,20.17985461038332,197.35465623314863,944.9701490518238,-27249.66199877327,157.97896170660067,12.021038293399329
240,19.917553464942124,196.6198114394186,953.2842416397374,-27732.827714810595,158.0550481919442,11.944951808055805
242,19.655171805015232,195.90017606064941,961.7395522210732,-28203.880236826255,158.1317494549179,11.868250545082105
244,19.392920567818962,195.19552517468296,970.3320065211516,-28661.34244137132,158.20900705076247,11.790992949237534
246,19.130981240017526,194.50558282331488,979.0581104178416,-29107.149509044702,158.28676930163743,11.713230698362565
248,18.86952744378898,193.83008161088875,987.9142742607763,-29540.982791951134,158.3649851242473,11.635014875752688
250,18.608714914228134,193.1687361949641,996.8971650540402,-29963.6983971888,158.44360713261239,11.556392867387615
252,18.348702985229494,192.52129739154591,1006.0029822870697,-30373.7368637522,158.52258527696006,11.477414723039942
254,18.089623629540164,191.8874734349986,1015.2285431246403,-30773.158534797374,158.60187630201153,11.398123697988467
256,17.83159781313596,191.26697209909372,1024.570751716493,-31162.2535609378,158.68143899270137,11.318561007298626
258,17.574751515006394,190.65953779628205,1034.0260248670854,-31539.39633328717,158.7612293018604,11.238770698139604
260,17.319185110755814,190.06487749166234,1043.5914197711577,-31906.722963898792,158.8412099082488,11.1587900917512
262,17.0649946834393,189.48271161015234,1053.2638843904735,-32263.869090782333,158.9213437696024,11.078656230397598
